pos1,2,0,0,0,0,0,145,120,-145,120

pos2,2,0,0,0,0,0,0,130,145,120

pos3,2,0,0,0,0,0,-150,130,145,120

pos4,0,90,0,0,0,0,0,0,0,0

pos4,0,0,90,0,0,0,0,0,0,0

home,0,0,0,0,0,0,0,0,0,0


p1,0,47.00,-15.00,0.00,69.00,1.00,0.00,0.00,0.00,0.00
p1a,0,47.00,-15.00,0.00,69.00,0.00,0.00,0.00,0.00,0.00
p1b,0,47.00,-15.00,60.00,69.00,0.00,0.00,0.00,0.00,0.00
p2,0,3.00,8.00,10.00,70.00,0.00,0.00,0.00,0.00,0.00
p3,0,-42.00,-49.00,0.00,50.00,1.00,5.00,168.00,11.00,115.00
p3a,0,-42.00,-49.00,0.00,50.00,0.00,5.00,168.00,11.00,115.00
p3b,0,-42.00,-49.00,60.00,50.00,0.00,5.00,168.00,11.00,115.00
p2a,0,9.00,20.00,2.00,63.00,1.00,0.00,0.00,0.00,0.00
p2b,0,9.00,20.00,2.00,63.00,0.00,0.00,0.00,0.00,0.00
p2c,0,9.00,20.00,2.00,63.00,0.00,0.00,0.00,0.00,0.00
p4,0,10.00,-77.00,0.00,50.00,1.00,0.00,0.00,0.00,0.00
p4a,0,10.00,-77.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00
p4b,0,10.00,-77.00,60.00,50.00,0.00,0.00,0.00,0.00,0.00
